Experimento,phi_s0,Pendiente,s_hat,prof_mm,z_tilde,eta,theta_deg,phi_s,Pe,Pe_std,n_muestras
Exp_phis50_i3cm,0.5000,i3cm,0.0250,0.2500,0.9941,0.9941,11.1822,0.0531,5783.9240,677.3807,2127
Exp_phis50_i3cm,0.5000,i3cm,0.0250,0.7500,0.9824,0.9824,11.1822,0.0687,3270.2560,361.1823,2123
Exp_phis50_i3cm,0.5000,i3cm,0.0250,1.2500,0.9707,0.9707,11.1822,0.1188,2198.5277,340.1494,2106
Exp_phis50_i3cm,0.5000,i3cm,0.0250,1.7500,0.9589,0.9589,11.1822,0.1646,1615.8752,292.4986,2090
Exp_phis50_i3cm,0.5000,i3cm,0.0250,2.2500,0.9472,0.9472,11.1822,0.2481,1209.0025,314.5701,2089
Exp_phis50_i3cm,0.5000,i3cm,0.0250,2.7500,0.9355,0.9355,11.1822,0.3676,897.1926,280.2847,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,3.2500,0.9237,0.9237,11.1822,0.4315,720.4261,226.6627,2116
Exp_phis50_i3cm,0.5000,i3cm,0.0250,3.7500,0.9120,0.9120,11.1822,0.3822,668.8404,194.3926,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,4.2500,0.9003,0.9003,11.1822,0.2809,665.3541,133.2719,2088
Exp_phis50_i3cm,0.5000,i3cm,0.0250,4.7500,0.8885,0.8885,11.1822,0.1455,683.7916,79.6084,2081
Exp_phis50_i3cm,0.5000,i3cm,0.0250,5.2500,0.8768,0.8768,11.1822,0.0458,678.8800,41.3989,2082
Exp_phis50_i3cm,0.5000,i3cm,0.0250,5.7500,0.8651,0.8651,11.1822,0.0353,629.2433,54.9635,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,6.2500,0.8533,0.8533,11.1822,0.0188,590.1181,27.7763,2085
Exp_phis50_i3cm,0.5000,i3cm,0.0250,6.7500,0.8416,0.8416,11.1822,0.0224,547.3590,24.7064,2083
Exp_phis50_i3cm,0.5000,i3cm,0.0250,7.2500,0.8299,0.8299,11.1822,0.0435,503.0348,34.0656,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,7.7500,0.8181,0.8181,11.1822,0.0443,471.8787,26.1210,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,8.2500,0.8064,0.8064,11.1822,0.0720,434.4754,37.9604,2087
Exp_phis50_i3cm,0.5000,i3cm,0.0250,8.7500,0.7947,0.7947,11.1822,0.0957,402.2304,49.1157,2088
Exp_phis50_i3cm,0.5000,i3cm,0.0250,9.2500,0.7829,0.7829,11.1822,0.0978,380.5588,47.3539,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,9.7500,0.7712,0.7712,11.1822,0.1082,358.2825,66.6689,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,10.2500,0.7595,0.7595,11.1822,0.1965,314.6314,83.9424,2095
Exp_phis50_i3cm,0.5000,i3cm,0.0250,10.7500,0.7477,0.7477,11.1822,0.3053,268.6915,88.8014,2097
Exp_phis50_i3cm,0.5000,i3cm,0.0250,11.2500,0.7360,0.7360,11.1822,0.3371,248.0122,100.1859,2097
Exp_phis50_i3cm,0.5000,i3cm,0.0250,11.7500,0.7243,0.7243,11.1822,0.3907,223.6427,95.2107,2098
Exp_phis50_i3cm,0.5000,i3cm,0.0250,12.2500,0.7125,0.7125,11.1822,0.5506,173.4335,93.9604,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,12.7500,0.7008,0.7008,11.1822,0.7361,120.4210,75.1607,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,13.2500,0.6891,0.6891,11.1822,0.9100,73.6126,45.9757,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,13.7500,0.6773,0.6773,11.1822,0.9520,61.0147,38.1224,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,14.2500,0.6656,0.6656,11.1822,0.9809,52.2593,29.5088,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,14.7500,0.6539,0.6539,11.1822,0.9872,49.0921,27.3258,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,15.2500,0.6422,0.6422,11.1822,0.9876,47.4123,26.0352,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,15.7500,0.6304,0.6304,11.1822,0.9877,45.9102,25.1113,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,16.2500,0.6187,0.6187,11.1822,0.9880,44.4558,23.8641,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,16.7500,0.6070,0.6070,11.1822,0.9885,43.0195,22.2380,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,17.2500,0.5952,0.5952,11.1822,0.9887,41.7506,21.3451,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,17.7500,0.5835,0.5835,11.1822,0.9884,40.6891,21.4602,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,18.2500,0.5718,0.5718,11.1822,0.9889,39.4816,20.0954,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,18.7500,0.5600,0.5600,11.1822,0.9891,38.3968,19.1367,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,19.2500,0.5483,0.5483,11.1822,0.9888,37.5154,19.5098,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,19.7500,0.5366,0.5366,11.1822,0.9890,36.5233,18.7774,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,20.2500,0.5248,0.5248,11.1822,0.9892,35.5929,17.9864,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,20.7500,0.5131,0.5131,11.1822,0.9894,34.7133,17.4983,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,21.2500,0.5014,0.5014,11.1822,0.9898,33.8323,16.5779,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,21.7500,0.4896,0.4896,11.1822,0.9897,33.1203,16.7117,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,22.2500,0.4779,0.4779,11.1822,0.9904,32.2624,15.6943,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,22.7500,0.4662,0.4662,11.1822,0.9908,31.4887,15.0040,2102
